



XŽ²     YŽ²     ZŽ²
     -28   0.015   11381
     -28   0.015   11552
     -28   0.015   11723
     -28   0.015   13718
     -28   0.015   14573
     -75   0.015   15048
     -28   0.015   15770
     -10   0.015   16169
      10   0.015   16777
     -75   0.015   17062
     -70   0.015   17689
     -70   0.015   17860
     -70   0.015   18031
     -70   0.015   18202
     -28   0.015   19475
     -28   0.015   20425
     -28   0.015   21014
     -28   0.015   21869
      10   0.015   22078
       0   0.015   22515
     -40   0.015   22667
     -75   0.015   22838
     -30   0.015   23237
     -75   0.015   23446
     -28   0.015   24035
      -5   0.015   24263
     -75   0.015   24510
     -75   0.015   24700
     -75   0.015   25422
